,drama,horror,comedy,action,investigation,scifi
The Shawshank Redemption,0.18242440397926515,0.13320074474389837,0.20945300524054805,0.127732565973552,0.12604144200002926,0.12687748296678072
The Godfather,0.22297935624718399,0.11857287964984846,0.16921009105951337,0.17466349728305897,0.16448605722920595,0.14301246693930855
The Dark Knight,0.19257182379118937,0.2234321959183656,0.18827661230952303,0.1761269324777791,0.09172724817269604,0.12792067360325157
The Godfather: Part II,0.1141309871740078,0.07757362607557815,0.10314312140388956,0.1253166987140027,0.08710240748037526,0.12288553310503632
12 Angry Men,0.15987525227656643,0.15779100622160172,0.11565768483463335,0.16077912844358574,0.23170004517019036,0.09513975294083778
The Lord of the Rings: The Return of the King,0.12440756231689602,0.12807700466102986,0.07733725219439158,0.15687772609859502,0.03439278650402924,0.15011386977075
Pulp Fiction,0.22395306468138518,0.20192607964369336,0.2369074375178691,0.19064756020270482,0.10138125072417424,0.1617318074279854
Schindler's List,0.11078578295813482,0.13117627250642908,0.07600649626840769,0.13250596769393455,0.13972189526998036,0.1258458686678981
Inception,0.09363289260347422,0.1308382371728144,0.10212864420041248,0.17701670509254147,0.1871324596767791,0.20877090906846932
Fight Club,0.23234591435057264,0.17802247260632492,0.2478303763089938,0.2300888763648091,0.11957978081879836,0.21973686417849853
The Lord of the Rings: The Fellowship of the Ring,0.09703024037319843,0.14730125585500575,0.1278075048188025,0.1797972173144836,0.05641867215072881,0.16853198729851915
Forrest Gump,0.1429603850983233,0.02376632622492783,0.13787697382098993,0.13670505699912552,0.13905087814907843,0.11926057665867075
"Il buono, il brutto, il cattivo",0.12892331083076308,0.20850808282771272,0.1624599106984655,0.1453202726157939,0.17748449494266166,0.17125308648334303
The Lord of the Rings: The Two Towers,0.12018565210458548,0.18859816765385629,0.09504946259556414,0.150028513251837,0.08108180817155806,0.1889407173692716
The Matrix,0.16255689699028286,0.1913338906685541,0.1357761800115276,0.13957898062929727,0.15021866580994298,0.29235201584104936
Goodfellas,0.18311468990967786,0.17150245461642685,0.17329586120386847,0.14562798419511988,0.17289663298834487,0.08320971474825373
Star Wars: Episode V - The Empire Strikes Back,0.0797114581364698,0.11525253335195981,0.04995778747735034,0.11220618872112267,0.06205201746742879,0.17520503703450416
One Flew Over the Cuckoo's Nest,0.17531390567182664,0.21708911977436174,0.1596050459250008,0.10380056765431395,0.10720211579665366,0.16052636366644013
Hamilton,0.19140697982403873,0.04925338143278489,0.14707869425298364,0.1847713591769129,0.04820014759153078,0.06254146668435241
Gisaengchung,0.21426230968370658,0.11011441499585493,0.156184359656914,0.12094436312259516,0.08361092544155936,0.08096922094555258
